ID,Name,Gender,TimeArrived,TimeAway
1,Huynh Huy Anh,Male,2022-12-05 07:30:30,2022-12-05 08:30:30
2,Huynh Anh Khoa,Male,2022-12-05 07:30:30,2022-12-05 08:20:30
3,Huynh Anh Tuan,Male,2022-12-05 08:30:30,2022-12-05 08:40:30
4,Huynh Bao Duy,Male,2022-12-05 08:30:30,2022-12-05 08:40:30
5,Huynh Le Anh Tuan,Female,2022-12-05 09:30:30,2022-12-05 10:30:30
6,Huynh Nhat Huy,Female,2022-12-05 14:30:30,2022-12-05 15:30:30
7,Huynh Khanh Gia Uy,Female,2022-12-05 12:30:30,2022-12-05 12:45:30
8,Huynh Quang Minh,Female,2022-12-05 07:30:30,2022-12-05 07:45:30
9,Huynh Duong Viet Hoang,Male,2022-12-05 09:30:30,2022-12-05 09:40:30
10,Huynh Gia Phat,Female,2022-12-05 11:30:30,2022-12-05 12:00:00
